Lista de Suajes,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,21-06-24 Rev: 81,,
,N°,Dientes,Suaje Nº,Ubicación,Ancho,x,Largo,Cinta,G/L,G/S,P,D,Figura,ML/millar,Area/millar,Material,Comentarios,Proveedor,Fecha/alta
,645,48,830-668,F-208,"15,0",*,"18,0",109,"1,05","2,5",6,8,Ponchado,"3,417","0,37",,Ponchado para el suaje 830-633,AW,30/4/2005
,,76,M-910-327,,"15,0",*,"19,0",155,"3,0","3,0",8,11,Rectángulo,"2,750","0,43",FP06,Casa Cuervo,Rotometrics,13/7/2020
,6,45,830-005,A-6,"15,0",*,"26,0",114,2,"2,5",6,5,Ovalo,"4,750","0,54",,,,
,,64,M-3300-462,,"15,0",*,"26,0",335,3,"3,0",18,7,Rectángulo,"1,613","0,54",SG12,Laboratorios Best,Rotometrics,11/7/2023
,,68,M-830-044,,"15,0",*,"68,0",83,3,"4,0",4,3,Dos Rectángulos,"17,992","1,49",WI04,Tequila las Americas,Rotometrics,19/7/2016
,394,47,830-404,E-96,"15,0",*,"146,0",119,3,"3,0",6,1,Rectángulo,"24,833","2,96",,,,25/11/2001
,,109,M-3300-373,,"15,0",*,"170,0",173,3,"3,0",9,2,Rectángulo,"19,226","3,33",BT07,Barcel,Rotometrics,21/4/2022
,,62,830-850,,"16,0",*,"5,0",96,6,"2,0",4,28,Rectángulo,"1,750","0,17",KP04,Jabil Circuit,AW,7/10/2019
,,75,M-830-087,,"16,0",*,"6,4",90,4,"3,2",4,25,Rectángulo,"2,381","0,21",KP04,Jabil Circuit de México,Rotometrics,5/7/2018
,7,45,830-006,A-7,"16,0",*,"18,0",141,"2,5","2,0",7,7,Rectángulo,"2,857","0,40",,,,30/10/2000
,321,51,830-327,E-11,"16,0",*,"18,0",142,0,"0,0",8,9,Marca precio,"2,250","0,32",,Etiqueta marca precio para usarse junto con la navaja 830-328 (reposición 29-08-09 con navajas laterales),aw,26/9/2008
,278,51,830-284,D-80,"16,0",*,"21,0",174,2,"2,0",9,7,Figura,"2,556","0,44",,Limón,,
,1,48,830-001,A-1,"16,0",*,"22,0",173,"1,875","3,0",9,6,Ovalo,"2,778","0,48",,,,
,,96,M-910-024,,"16,0",*,"22,2",227,"1,875","3,2",12,12,Ovalo,"2,117","0,48",CS18,Agricola el Rosal,Rotometrics,1/11/2010
,,72,M-910-416,,"16,0",*,"35,0",239,"3,0","3,1",12,6,Rectángulo,"3,175","0,76",CS40,Royal SYL Ventures México,Rotometrics,11/7/2023
,,64,M-910-278,,"16,0",*,"37,0",239,"3,0","3,6",12,5,Rectángulo,"3,387","0,81",PH10,Laboratorios Pisa,Rotometrics,21/2/2019
